"word","freq"
"a recent",102
"about minutes",102
"also be",102
"are we",102
"back of",102
"can we",102
"coming out",102
"dont need",102
"for another",102
"he got",102
"i came",102
"in time",102
"in years",102
"it didnt",102
"kinds of",102
"my name",102
"of some",102
"one i",102
"or something",102
"talked about",102
"the report",102
"the video",102
"the wall",102
"thing that",102
"try and",102
"using a",102
"weeks ago",102
"what happens",102
"without the",102
"you at",102
"a result",101
"ahead of",101
"also the",101
"cost of",101
"he told",101
"help you",101
"how is",101
"im sorry",101
"in what",101
"is why",101
"join us",101
"know about",101
"last time",101
"loss of",101
"off a",101
"reason to",101
"role in",101
"says he",101
"such an",101
"the media",101
"the plan",101
"to enjoy",101
"to love",101
"what did",101
"whats up",101
"a high",100
"been to",100
"can have",100
"day is",100
"dont care",100
"five years",100
"have made",100
"he does",100
"i put",100
"inside the",100
"is getting",100
"it from",100
"just dont",100
"life in",100
"out at",100
"said to",100
"thanks so",100
"the high",100
"the largest",100
"the nfl",100
"them the",100
"to cover",100
"to one",100
"to remember",100
"will always",100
"a picture",99
"be my",99
"but as",99
"but to",99
"city of",99
"congrats to",99
"down in",99
"fan of",99
"for each",99
"great time",99
"in at",99
"is expected",99
"just one",99
"me as",99
"meant to",99
"might not",99
"started to",99
"take care",99
"the bus",99
"them for",99
"those of",99
"to improve",99
"too long",99
"unable to",99
"us a",99
"which the",99
"you really",99
"an awesome",98
"and ill",98
"and most",98
"asked to",98
"both the",98
